Rank,Player,PTS
218.,Baron Davis,13447
219.,Steve Smith,13430
220.,David Thompson*,13422
221.,Vlade Divac*,13398
222.,Rudy Tomjanovich*,13383
223.,Luol Deng,13361
224.,Jermaine O'Neal,13309
225.,Al Harrington,13237
226.,Jalen Rose,13220
227.,Corey Maggette,13198
228.,Kevin Johnson,13127
229.,Karl-Anthony Towns,13121
230.,Billy Paultz,13099
231.,Andrew Wiggins,13091
232.,Metta World Peace,13058
233.,Jeff Mullins,13017
234.,Horace Grant,12996
,Josh Smith,12996
236.,Stephen Jackson,12976
237.,Bob Boozer,12964
238.,Larry Kenon,12954
239.,Kendall Gill,12914
240.,Derrick Coleman,12884
241.,Wayman Tisdale,12878
242.,Rik Smits,12871
243.,Mychal Thompson,12810
244.,Paul Westphal*,12809
245.,Sidney Wicks,12803
246.,DeMarcus Cousins,12802
247.,Harrison Barnes,12796
248.,Lamar Odom,12781
249.,Mickey Johnson,12748
250.,Johnny Newman,12740
